Dish name,Dish ID,Ingredients,Raw ingredient name (from Ingredients),Cuisine,Timing,Serving size,Content,Dish type,Food group,Steps,Pre prep,Leftover recycle suggestion,Allergen info,Meals 2
ABC Juice,74,"Apple,Beetroot,Carrot,Ginger,Water,Lemon","Apple, Beetroot, Carrot, Ginger, Water, Lemon",Continental,Pre Breakfast,2 Glasses,https://youtu.be/D1GlkmYL9fY?si=I7ReuFFGu1EXnL-1,Beverages,Plant-based,"Do not add water if you are making this juice in a juicer or cold pressed machine. 
If you are making this juice in a blender, add apple, carrot, beet, ginger, water. Blend to a smooth consistency. You can filter the juice if you prefer or add lemon juice and drink with fibre. 
Do not store this juice. ",,,"Gluten Free, Wheat Free, Dairy Free
Egg Free, Nut Free
Fish Free, Mustard Free, Soy Free",
Air Fried Masala Foxnuts,70,"""Foxnut (Phool Makhana)
"",Ghee,Salt (Rock/Pink Himalayan),Cayenne pepper powder ,Turmeric Powder,Chaat masala (optional),Red Chilli Powder","Foxnut (Phool Makhana)
, Ghee, Salt (Rock/Pink Himalayan), Cayenne pepper powder , Turmeric Powder, Chaat masala (optional), Red Chilli Powder",Indian,Tea Time,2 Cups,https://youtu.be/ke2dLZjLoe0?si=bI05JFGhbpBNB_-d,Snack,"Vegetarian,Plant-based","Pre heat air fryer to 300°F (148°C).
Add fox nuts or phool makhana, 1/2 tablespoon oil, salt, cayenne or red chili powder and turmeric powder into a large bowl and mix well with a spoon until evenly combined. (save the bowl for later use)
Transfer combined nuts into the hot air fryer basket and cook for about 4 minutes or till crisp.
Tip - Try tasting one as soon as it comes out of the air fryer. It should be crunchy and not stick to your teeth. If not, fry for an one minute.
Transfer hot nuts back into the bowl, toss with remaining oil and chaat masala (if using). The oil helps chaat masala stick to the seeds.
Serve as soon as they cooled down completely or store in an air tight container for a few days",,,"Gluten Free, Wheat Free,
Egg Free, 
Fish Free, Mustard Free, Soy Free",
Ashgourd Amla Mint Juice,5,"Amla (Indian Gooseberry),Ashgourd,Mint Leaves,Water,Ginger","Amla (Indian Gooseberry), Ashgourd, Mint Leaves, Water, Ginger",Indian,Pre Breakfast,2 Glasses,https://youtube.com/shorts/4zbY_MLVK2c?si=TkxkkFaRcIFHyci5,Beverages,"Vegetarian,Plant-based","Wash and cut the ash gourd. Next, remove the center of the ash gourd containing large seeds. Peel the outer skin and dice it into ½-inch pieces. Cut the amla and remove the seed. Wash mint leaves.
Blender method - Transfer the diced ash gourd, amla and mint leaves into the blender, and add water. Blend until smooth. Strain the juice through a fine-mesh strainer into a large bowl or jug. Press the pulp with a spoon to extract all the juice. Serve immediately.
Juicer method - Put the diced ash gourd pieces, amla and mint leaves into your juicer chute one at a time. Collect the juice and serve immediately.",,Add leftover ashgourd in sambar/dal/vegetable soups.,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Avocado Toast on Sourdough Bread,51,"Sourdough bread,Avocado,Light Olive Oil,Garlic,Salt (Rock/Pink Himalayan),Black Pepper Powder","Sourdough bread, Avocado, Light Olive Oil, Garlic, Salt (Rock/Pink Himalayan), Black Pepper Powder",Continental,Breakfast,2 slices,https://youtu.be/Rh4EI4luKAQ?si=2qAjQkZkf43KLvy-,Mains,Plant-based,"Toast the bread slices. 
Rub the garlic clove on toasted bread slices for flavour. 
Slice or mash the avocado pulp. 
Arrange the slices over the roasted bread slices. 
Sprinkle salt, pepper and drizzle olive oil.
Enjoy!",,,"Soy Free,
Egg Free, 
Fish Free, Dairy Free",
Banana Dates Smoothie,59,"Rolled Oats,Cashew,Dates,Banana,Instant Coffee Powder,Water","Rolled Oats, Cashew, Dates, Banana, Instant Coffee Powder, Water",Continental,Breakfast,1 glass,https://www.instagram.com/reel/Cslb3-CArf0/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Smoothies,"Vegetarian,Plant-based","Soak rolled oats, cashew, and dates in hot water for 15 - 20 minutes or till water cools down completely. 
Blend them along with banana and coffee to a smooth drinking consistency. 
Banana Dates Smoothie is ready!",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Bhel Puri,88,"Puffed Rice,Roasted Brown Chana,Salted Peanuts,Onion,Tomato,Cucumber,Coriander Leaves,Salt (Rock/Pink Himalayan),Chaat Masala,Cumin Powder (jeera powder),Lemon,Green Chilli","Puffed Rice, Roasted Brown Chana, Salted Peanuts, Onion, Tomato, Cucumber, Coriander Leaves, Salt (Rock/Pink Himalayan), Chaat Masala, Cumin Powder (jeera powder), Lemon, Green Chilli",Indian,Tea Time,2 adults,https://youtu.be/JR6OoIWQ0nE?si=cJRpKdEbZBQ6cZwR,Snack,Vegetarian,"Mix together puffed rice, roasted chana, peanuts, onions, tomato, raw mango, salt, chaat masala, black salt, coriander-green chilli paste and lemon juice in a bowl. 
Transfer the prepared bhel in a paper cone, top with some masala chana, coriander leaves and sev. Toss. 
Serve immediately. ",,,"Gluten Free, Wheat Free, Egg Free, 
Fish Free, Mustard Free, Soy Free",
Boondi Raita,83,"Plain Curd,Readymade Plain Boondi,Cumin Powder (jeera powder),Salt (Rock/Pink Himalayan),Red Chilli Powder,Coriander Leaves,Mint Leaves,Chaat Masala,Water","Plain Curd, Readymade Plain Boondi, Cumin Powder (jeera powder), Salt (Rock/Pink Himalayan), Red Chilli Powder, Coriander Leaves, Mint Leaves, Chaat Masala, Water",Indian,Lunch,2 adults,https://youtu.be/9zmTECBanL0?si=PH3P0HA7NnRiK-gI,Side,Vegetarian,"To a bowl add the boondi. Now pour hot water over the boondi. Let sit 5 minutes. Skip this step if you like crunchy boondi raita.
After 5 minutes, drain the water and set the boondi aside. Remember to not soak the boondi for more than 4 to 5 minutes for them to retain their shape.
To another bowl, add curd. 
Add water to thin out the curd as needed. This might not be needed if using homemade curd 
Now, add the following: cumin powder, chaat masala, red chili powder, and salt.
Using a wire whisk, mix until the spices and salt are well combined with the curd. 
Add freshly chopped mint, coriander, and the soaked and drained boondi into the curd.
Mix until combined. 
Garnish with more mint, chili powder and you can even add some crunchy boondi on top for texture before serving. 
Serve cold or at room temperature.",,Make Hung Curd Sandwich with leftover curd. ,"Gluten Free, Wheat Free, Egg Free, 
Fish Free, Mustard Free, Soy Free",
Brown Chana Sundal,60,"""Brown Chana

"",Salt (Rock/Pink Himalayan),Coconut Oil,Mustard Seeds (rai),White Urad Dal,Hing (Asafoetida),Dried Red Chilli,Curry leaves,Coconut,Coriander Leaves","Brown Chana

, Salt (Rock/Pink Himalayan), Coconut Oil, Mustard Seeds (rai), White Urad Dal, Hing (Asafoetida), Dried Red Chilli, Curry leaves, Coconut, Coriander Leaves",Indian,Tea Time,2 adults,https://youtu.be/IxGI5Z4xQCA?si=_Aa_JBtZsyCI8eGH,Snack,"Vegetarian,Plant-based","Heat oil in a kadai add mustard seeds, curry leaves, red chilli, urad dal, and asafoetida. Fry for 10 - 20 seconds. 
Add the boiled chana without water. If 2 - 3 tablespoon water is retained, no problem. Stir well. Season with salt. Turn off the heat.
Finally add coriander and grated coconut. Mix well for 2 minutes in medium flame.
Chana Sundal is ready!","Rinse and soak brown chana in water 8 hours or best overnight. 
Next day, drain all the water. Pressure Cook it in salted water over low heat for 2 - 3 whistles. Make sure chana should not become mushy or too soft. ",,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
CCF Water,8,"Cumin Seeds,Coriander Seeds,Fennel Seeds (sauf)","Cumin Seeds, Coriander Seeds, Fennel Seeds (sauf)",Indian,All Day,2 Mugs,https://www.youtube.com/watch?v=ihQepKRg4C8,Beverages,"Vegetarian,Plant-based","Combine all three ingredients in 2 cups of water. 
Simmer over low heat till the colour of the water changes and a nice aroma is released. 
Filter the tea and drink it warm. ",,,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free",
Coconut Dal,11,"Pink Masoor Dal,Water,Turmeric Powder,Bay Leaf (Tej Patta),Dried Red Chilli,Cumin Seeds,Nigella Seeds (Kalonji),Mustard Seeds (rai),Cumin Powder (jeera powder),""Sweet Potato
"",Carrot,Green Beans,Spinach ,Tomato,Ginger,Garam Masala Powder,Green Chilli,Salt (Rock/Pink Himalayan),Oil (Sesame/Coconut/Groundnut),Water","Pink Masoor Dal, Water, Turmeric Powder, Bay Leaf (Tej Patta), Dried Red Chilli, Cumin Seeds, Nigella Seeds (Kalonji), Mustard Seeds (rai), Cumin Powder (jeera powder), Sweet Potato
, Carrot, Green Beans, Spinach , Tomato, Ginger, Garam Masala Powder, Green Chilli, Salt (Rock/Pink Himalayan), Oil (Sesame/Coconut/Groundnut), Water",Indian,Lunch,2 adults,https://youtu.be/H2xI0m-st0U?si=aDRcVf_bcZIU5ILk,Mains,"Vegetarian,Plant-based","Clean, wash and soak the lentil for 10 minutes
Heat oil in a pressure cooker. 
Add cumin, nigella, mustard seeds. Allow them to crackle. 
Add ginger and onion. Saute them for 2 - 3 minutes or till onion becomes light brown. 
Add soaked lentil, vegetables, spices, salt, and saute for 1 minute. 
Add water. Mix. Pressure cook coconut dal for 2 whistles over low heat. 
Allow the steam to release naturally. 
Open the lid, add garam masala, coconut milk, spinach leaves and simmer for 5 minutes. Garnish with fresh coriander. Serve Coconut Dal warm.",Rinse and soak moong in water for 15 minutes. ,,"Gluten Free, Dairy Free, 
Soy Free, Nuts Free
Wheat Free, Egg Free, 
Fish Free",
